Time;Weather data, Rain
11-03-2018 07:43:43;0
11-03-2018 07:59:05;-1
11-03-2018 08:02:22;0
11-03-2018 08:45:12;-1
11-03-2018 09:15:03;0
11-03-2018 09:20:08;-1
11-03-2018 11:28:44;-1
11-03-2018 11:43:04;0
11-03-2018 13:39:23;-1
11-03-2018 14:00:37;0
11-03-2018 15:43:34;0
11-03-2018 15:44:22;-1
11-03-2018 15:58:53;0
11-05-2018 11:40:23;-1
11-05-2018 11:50:40;0
11-05-2018 16:08:21;-1
11-05-2018 16:18:24;0
11-05-2018 16:24:11;-1
11-05-2018 17:00:23;0
11-05-2018 17:05:40;-1
11-05-2018 17:50:30;0
11-05-2018 17:54:34;-1
11-06-2018 04:45:17;0
11-06-2018 04:45:40;-1
11-06-2018 05:05:42;0
11-06-2018 08:32:59;0
11-06-2018 08:39:28;-1
11-06-2018 12:02:16;-1
11-06-2018 12:13:53;0
11-06-2018 13:43:13;-1
11-06-2018 14:23:39;0
11-06-2018 14:42:50;-1
11-06-2018 16:49:56;0
11-06-2018 16:50:27;-1
11-06-2018 17:28:12;0
11-06-2018 18:14:58;-1
11-06-2018 19:27:12;0
11-06-2018 19:41:26;-1
11-06-2018 20:14:29;0
11-09-2018 17:37:09;-1
11-09-2018 17:52:07;0
11-09-2018 18:05:43;-1
11-10-2018 04:45:36;-1
11-10-2018 06:10:47;0
11-10-2018 06:27:39;-1
11-10-2018 07:00:20;0
11-10-2018 07:39:29;0
11-10-2018 07:45:34;-1
11-10-2018 07:55:48;0
11-10-2018 11:10:01;-1
11-10-2018 11:25:03;0
11-10-2018 14:56:12;-1
11-10-2018 15:11:16;0
11-13-2018 00:34:05;-1
11-13-2018 13:47:52;0
11-15-2018 19:57:12;-1
11-15-2018 21:13:48;0
11-15-2018 22:17:53;-1
11-15-2018 22:29:37;0
11-15-2018 22:41:31;-1
11-15-2018 23:11:50;0
11-15-2018 23:26:42;-1
11-15-2018 23:56:02;0
11-16-2018 00:04:32;-1
11-16-2018 11:01:12;0
11-16-2018 14:47:08;0
11-16-2018 15:38:30;-1
11-19-2018 01:45:40;-1
11-19-2018 07:09:53;0
11-19-2018 07:15:56;-1
11-19-2018 12:08:09;0
11-19-2018 12:19:51;-1
11-19-2018 12:48:57;0
11-19-2018 14:44:36;0
11-19-2018 14:44:47;-1
11-19-2018 19:37:10;-1
11-19-2018 20:20:43;0
11-19-2018 20:26:54;-1
11-19-2018 21:01:33;0
11-19-2018 21:06:28;-1
11-19-2018 23:21:30;0
11-19-2018 23:30:23;-1
11-19-2018 23:40:28;0
11-19-2018 23:47:09;-1
11-20-2018 00:00:40;0
11-20-2018 00:34:07;-1
11-20-2018 01:05:04;0
11-20-2018 01:22:36;-1
11-20-2018 07:48:10;0
11-20-2018 07:50:11;-1
11-20-2018 08:11:18;0
11-20-2018 08:54:20;-1
11-20-2018 10:42:03;0
11-20-2018 11:02:29;-1
11-20-2018 12:02:29;0
11-20-2018 12:03:49;-1
11-20-2018 13:34:36;0
11-20-2018 13:35:17;-1
11-20-2018 14:50:16;0
11-20-2018 15:29:48;-1
11-20-2018 15:50:06;0
11-20-2018 15:56:52;-1
11-20-2018 16:16:20;0
11-20-2018 16:18:35;-1
11-20-2018 16:54:51;0
11-20-2018 17:00:22;-1
11-20-2018 18:01:47;0
11-21-2018 16:59:16;-1
11-21-2018 17:14:31;0
11-25-2018 00:51:49;-1
11-25-2018 04:33:25;0
11-25-2018 05:00:50;-1
11-25-2018 08:30:19;0
11-25-2018 10:14:50;-1
11-25-2018 11:42:54;0
11-26-2018 08:59:01;-1
11-26-2018 14:33:54;0
