Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Heat Valve
11-17-2018 01:57:01;38
11-17-2018 04:13:59;74
11-17-2018 04:18:01;76
11-17-2018 04:20:01;75
11-17-2018 04:22:01;76
11-17-2018 04:24:01;78
11-17-2018 04:26:01;77
11-17-2018 04:28:01;79
11-17-2018 04:30:01;80
11-17-2018 04:32:01;81
11-17-2018 04:36:01;82
11-17-2018 04:38:01;83
11-17-2018 04:40:01;84
11-17-2018 04:42:01;85
11-17-2018 04:46:01;86
11-17-2018 04:48:01;87
11-17-2018 04:50:01;88
11-17-2018 04:52:01;89
11-17-2018 04:56:01;90
11-17-2018 04:58:01;91
11-17-2018 05:00:01;92
11-17-2018 05:02:01;93
11-17-2018 05:06:01;94
11-17-2018 05:08:01;95
11-17-2018 05:10:01;96
11-17-2018 05:12:01;97
11-17-2018 05:16:01;98
11-17-2018 05:18:01;99
11-17-2018 05:20:01;100
11-17-2018 07:03:01;39
11-17-2018 07:07:01;40
11-17-2018 07:13:01;41
11-17-2018 07:17:01;42
11-17-2018 07:23:01;43
11-17-2018 07:27:01;44
11-17-2018 07:33:01;45
11-17-2018 07:37:01;46
11-17-2018 07:41:01;48
11-17-2018 07:43:01;47
11-17-2018 07:45:01;49
11-17-2018 07:47:01;48
11-17-2018 07:51:01;49
11-17-2018 07:55:01;50
11-17-2018 07:59:01;52
11-17-2018 08:09:01;53
11-17-2018 08:13:01;54
11-17-2018 08:15:01;55
11-17-2018 08:17:01;56
11-17-2018 08:21:01;57
11-17-2018 08:23:01;58
11-17-2018 08:27:01;59
11-17-2018 08:31:01;60
11-17-2018 08:33:01;61
11-17-2018 08:37:01;62
11-17-2018 08:41:01;63
11-17-2018 08:43:01;64
11-17-2018 08:47:01;65
11-17-2018 08:51:01;66
11-17-2018 08:53:01;67
11-17-2018 08:57:01;68
11-17-2018 09:01:01;69
11-17-2018 09:03:01;70
11-29-2018 13:30:03;0
11-29-2018 14:47:37;100
11-29-2018 14:47:49;0
11-30-2018 12:23:32;100
12-01-2018 03:42:56;1
12-01-2018 03:44:56;0
12-01-2018 03:48:56;1
12-01-2018 03:50:56;0
12-01-2018 03:56:54;1
12-01-2018 03:57:02;2
12-01-2018 03:58:54;1
12-01-2018 04:00:54;2
12-01-2018 04:02:54;1
12-01-2018 04:06:54;2
12-01-2018 04:13:02;3
12-01-2018 04:23:02;4
12-01-2018 04:33:02;5
12-01-2018 04:43:02;6
12-01-2018 04:53:02;7
12-01-2018 04:58:48;8
12-01-2018 05:00:48;7
12-01-2018 05:02:48;9
12-01-2018 05:04:48;8
12-01-2018 05:06:48;9
12-01-2018 05:09:02;10
12-01-2018 05:10:46;9
12-01-2018 05:14:46;10
12-01-2018 05:17:02;11
12-01-2018 05:22:46;12
12-01-2018 05:27:02;13
12-01-2018 05:31:02;14
12-01-2018 05:37:02;15
12-01-2018 05:41:02;16
12-01-2018 05:47:02;17
12-01-2018 05:51:02;18
12-01-2018 05:57:02;19
12-01-2018 06:01:02;20
12-01-2018 06:05:02;22
12-01-2018 06:09:02;23
12-01-2018 06:13:02;24
12-01-2018 06:15:02;23
12-01-2018 06:17:02;24
12-01-2018 06:21:02;26
12-01-2018 06:25:02;27
12-01-2018 06:27:02;28
12-01-2018 06:31:02;29
12-01-2018 06:35:02;30
12-01-2018 06:37:02;31
12-01-2018 06:41:02;32
12-01-2018 06:45:02;33
12-01-2018 06:47:02;34
12-01-2018 06:51:02;35
12-01-2018 06:55:02;36
12-01-2018 06:57:02;37
12-01-2018 06:59:02;38
12-01-2018 07:03:02;39
12-01-2018 07:05:02;40
12-01-2018 07:07:02;41
12-01-2018 07:09:02;42
12-01-2018 07:11:02;43
12-01-2018 07:15:02;44
12-01-2018 07:17:02;45
12-01-2018 07:19:02;46
12-01-2018 07:21:02;47
12-01-2018 07:25:02;48
12-01-2018 07:27:02;49
12-01-2018 07:29:02;50
12-01-2018 07:31:02;51
12-01-2018 07:35:02;52
12-01-2018 07:37:02;53
12-01-2018 07:39:02;54
12-01-2018 07:41:02;55
12-01-2018 07:45:02;56
12-01-2018 07:47:02;57
12-01-2018 07:49:02;58
12-01-2018 07:51:02;59
12-01-2018 07:53:02;61
12-01-2018 07:55:02;60
12-01-2018 07:57:02;61
12-01-2018 07:59:02;63
12-01-2018 08:01:02;64
12-01-2018 08:05:02;65
12-01-2018 08:07:02;67
12-01-2018 08:09:02;68
12-01-2018 08:11:02;69
12-01-2018 08:13:02;70
12-01-2018 08:15:02;71
12-01-2018 08:17:02;72
12-01-2018 08:19:02;73
12-01-2018 08:21:02;74
12-01-2018 08:23:02;75
12-01-2018 08:25:02;76
12-01-2018 08:27:02;77
12-01-2018 08:29:02;78
12-01-2018 08:31:02;79
12-01-2018 08:33:02;80
12-01-2018 08:35:02;81
12-01-2018 08:37:02;82
12-01-2018 08:39:02;83
12-01-2018 08:41:02;84
12-01-2018 08:43:02;85
12-01-2018 08:45:02;86
12-01-2018 08:47:02;87
12-01-2018 08:49:02;88
12-01-2018 08:51:02;89
12-01-2018 08:53:02;90
12-01-2018 08:55:02;91
12-01-2018 08:57:02;92
12-01-2018 08:59:02;93
12-01-2018 09:01:02;94
12-01-2018 09:03:02;96
12-01-2018 09:05:02;97
12-01-2018 09:09:02;99
12-01-2018 09:11:02;100
12-03-2018 15:35:14;32
12-03-2018 15:36:01;35
12-03-2018 15:36:41;30
12-03-2018 15:37:01;33
12-03-2018 15:38:01;36
12-03-2018 15:39:01;38
12-03-2018 15:40:01;41
12-03-2018 15:41:01;44
12-03-2018 15:42:01;46
12-03-2018 15:43:01;49
12-03-2018 15:44:01;52
12-03-2018 15:45:01;55
12-03-2018 15:47:01;60
12-03-2018 15:49:01;65
12-03-2018 15:51:01;71
12-03-2018 15:53:01;76
12-03-2018 15:55:01;80
12-03-2018 15:57:01;86
12-03-2018 15:59:01;91
12-03-2018 16:01:01;96
12-03-2018 16:03:01;100
12-03-2018 20:35:05;32
12-03-2018 20:35:09;0
12-06-2018 10:22:51;92
12-06-2018 10:44:01;86
12-06-2018 10:50:01;85
12-06-2018 10:52:01;84
12-06-2018 10:54:01;85
12-06-2018 10:56:01;83
12-06-2018 11:00:01;82
12-06-2018 11:02:01;81
12-06-2018 11:06:01;80
12-06-2018 11:10:01;79
12-06-2018 11:12:01;78
12-06-2018 11:16:01;77
12-06-2018 11:20:01;75
12-06-2018 11:22:01;74
12-06-2018 11:24:01;73
12-06-2018 11:28:01;72
12-06-2018 11:30:01;71
12-06-2018 11:32:01;70
12-06-2018 11:34:01;69
12-06-2018 11:38:01;68
12-06-2018 11:40:01;66
12-06-2018 11:44:01;64
12-06-2018 11:46:01;63
12-06-2018 11:48:01;62
12-06-2018 11:50:01;61
12-06-2018 11:52:01;60
12-06-2018 11:54:01;59
12-06-2018 11:56:01;58
12-06-2018 11:58:01;57
12-06-2018 12:00:01;56
12-06-2018 12:02:01;55
12-06-2018 12:04:01;54
12-06-2018 12:06:01;53
12-06-2018 12:08:01;52
12-06-2018 12:10:01;51
12-06-2018 12:12:01;50
12-06-2018 12:14:01;49
12-06-2018 12:16:01;48
12-06-2018 12:17:33;60
12-06-2018 12:18:05;48
12-06-2018 12:21:01;47
12-06-2018 12:23:01;46
12-06-2018 12:25:01;45
12-06-2018 12:27:01;44
12-06-2018 12:29:01;43
12-06-2018 12:31:01;42
12-06-2018 12:33:01;41
12-06-2018 12:35:01;40
12-06-2018 12:37:01;39
12-06-2018 12:39:01;38
12-06-2018 12:41:01;37
12-06-2018 12:43:01;36
12-06-2018 12:45:01;35
12-06-2018 12:47:01;34
12-06-2018 12:49:01;33
12-06-2018 12:51:01;32
12-06-2018 12:53:01;31
12-06-2018 12:55:01;30
12-06-2018 12:57:01;29
12-06-2018 12:59:01;28
12-06-2018 13:01:01;27
12-06-2018 13:03:01;26
12-06-2018 13:05:01;25
12-06-2018 13:07:01;24
12-06-2018 13:09:01;23
