Time;Sun screening, Roof, Zone 31 - Rm. 3-2, South Office, Absolut position Sunscreening
08-30-2018 14:41:54;49
08-30-2018 14:41:56;54
08-30-2018 14:41:57;60
08-30-2018 14:41:58;65
08-30-2018 14:41:59;71
08-30-2018 14:42:00;76
08-30-2018 14:42:01;82
08-30-2018 14:42:02;87
08-30-2018 14:42:03;93
08-30-2018 14:42:04;100
08-30-2018 14:54:55;99
08-30-2018 14:54:57;93
08-30-2018 14:54:58;87
08-30-2018 14:54:59;82
08-30-2018 14:55:00;76
08-30-2018 14:55:01;71
08-30-2018 14:55:02;65
08-30-2018 14:55:03;60
08-30-2018 14:55:04;54
08-30-2018 14:55:05;49
08-30-2018 14:55:06;43
08-30-2018 14:55:07;38
08-30-2018 14:55:08;33
08-30-2018 14:55:09;27
08-30-2018 14:55:10;22
08-30-2018 14:55:11;17
08-30-2018 14:55:12;11
08-30-2018 14:55:13;6
08-30-2018 14:55:14;1
08-30-2018 14:55:15;0
08-31-2018 09:48:26;1
08-31-2018 09:48:27;6
08-31-2018 09:48:28;12
08-31-2018 09:48:29;17
08-31-2018 09:48:31;23
08-31-2018 09:48:32;28
08-31-2018 09:48:33;34
08-31-2018 09:48:34;39
08-31-2018 09:48:35;45
08-31-2018 09:48:36;50
08-31-2018 09:48:37;56
08-31-2018 09:48:38;61
08-31-2018 09:48:39;66
08-31-2018 09:48:40;72
08-31-2018 09:48:41;77
08-31-2018 09:48:42;83
08-31-2018 09:48:43;88
08-31-2018 09:48:44;93
08-31-2018 09:48:45;100
08-31-2018 16:49:35;98
08-31-2018 16:49:35;93
08-31-2018 16:49:37;87
08-31-2018 16:49:38;81
08-31-2018 16:49:39;76
08-31-2018 16:49:40;70
08-31-2018 16:49:41;64
08-31-2018 16:49:42;58
08-31-2018 16:49:43;53
08-31-2018 16:49:44;48
08-31-2018 16:49:45;42
08-31-2018 16:49:46;37
08-31-2018 16:49:47;31
08-31-2018 16:49:48;26
08-31-2018 16:49:49;20
08-31-2018 16:49:50;15
08-31-2018 16:49:51;10
08-31-2018 16:49:52;4
08-31-2018 16:49:54;0
09-01-2018 09:39:48;4
09-01-2018 09:39:49;9
09-01-2018 09:39:50;15
09-01-2018 09:39:51;20
09-01-2018 09:39:52;26
09-01-2018 09:39:53;31
09-01-2018 09:39:54;37
09-01-2018 09:39:56;42
09-01-2018 09:39:57;47
09-01-2018 09:39:58;53
09-01-2018 09:39:59;58
09-01-2018 09:40:00;64
09-01-2018 09:40:01;69
09-01-2018 09:40:02;74
09-01-2018 09:40:03;79
09-01-2018 09:40:04;85
09-01-2018 09:40:05;90
09-01-2018 09:40:06;100
09-01-2018 16:52:55;94
09-01-2018 16:52:56;89
