Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Heating status
11-10-2018 03:12:00;36
11-10-2018 07:01:00;34
11-10-2018 07:02:00;34
11-10-2018 16:01:00;36
11-11-2018 04:13:00;36
11-11-2018 07:00:44;34
11-11-2018 07:02:00;34
11-11-2018 16:01:00;36
11-12-2018 04:06:00;36
11-12-2018 06:01:00;33
11-12-2018 07:02:00;33
11-13-2018 00:01:00;36
11-13-2018 04:00:00;36
11-13-2018 06:01:00;33
11-13-2018 07:02:00;33
11-14-2018 00:01:00;36
11-14-2018 03:31:34;36
11-14-2018 06:01:00;33
11-14-2018 07:01:00;33
11-15-2018 00:01:00;36
11-15-2018 04:19:00;36
11-15-2018 06:00:48;33
11-15-2018 07:01:13;33
11-16-2018 00:00:55;36
11-16-2018 04:12:00;36
11-16-2018 06:01:00;33
11-16-2018 07:02:00;33
11-17-2018 00:01:00;36
11-17-2018 04:05:00;36
11-17-2018 07:01:00;34
11-17-2018 07:02:00;34
11-17-2018 16:01:00;36
11-18-2018 03:41:00;36
11-18-2018 07:01:00;34
11-18-2018 07:02:00;34
11-18-2018 11:05:00;34
11-18-2018 16:01:00;36
11-18-2018 16:01:00;36
11-18-2018 18:04:00;33
11-18-2018 18:11:00;36
11-19-2018 04:30:00;36
11-19-2018 06:01:00;33
11-19-2018 07:01:11;33
11-20-2018 00:01:00;36
11-20-2018 04:06:00;36
11-20-2018 06:01:00;33
11-20-2018 07:02:00;33
11-21-2018 00:01:00;36
11-21-2018 03:43:00;36
11-21-2018 06:01:00;33
11-21-2018 07:02:00;33
11-22-2018 00:01:00;36
11-22-2018 04:25:00;36
11-22-2018 06:01:00;33
11-22-2018 07:02:00;33
11-23-2018 00:01:00;36
11-23-2018 04:16:00;36
11-23-2018 06:01:00;33
11-23-2018 07:02:00;33
11-24-2018 00:01:00;36
11-24-2018 04:07:00;36
11-24-2018 07:01:00;34
11-24-2018 07:01:00;34
11-24-2018 16:01:00;36
11-25-2018 03:59:00;36
11-25-2018 07:00:08;34
11-25-2018 07:01:00;34
11-25-2018 16:01:00;36
11-26-2018 03:50:00;36
11-26-2018 06:01:00;33
11-26-2018 07:02:00;33
11-27-2018 00:01:00;36
11-27-2018 02:23:00;36
11-27-2018 06:01:00;33
11-27-2018 07:02:00;33
11-28-2018 00:01:00;36
11-28-2018 04:15:00;36
11-28-2018 06:01:00;33
11-28-2018 07:02:00;33
11-29-2018 00:01:00;36
11-29-2018 04:05:54;36
11-29-2018 06:01:00;33
11-29-2018 07:02:00;33
11-30-2018 00:01:00;36
11-30-2018 03:26:00;36
11-30-2018 06:01:00;33
11-30-2018 07:02:00;33
11-30-2018 17:42:25;2
11-30-2018 17:42:30;33
12-01-2018 02:06:00;36
12-01-2018 05:01:00;36
12-01-2018 07:00:34;34
12-01-2018 07:01:00;34
12-01-2018 16:01:00;36
12-02-2018 03:46:00;36
12-02-2018 07:01:00;34
12-02-2018 07:02:00;34
12-02-2018 08:03:19;2
12-02-2018 08:05:00;4
12-03-2018 01:03:17;36
12-03-2018 04:31:00;36
12-03-2018 06:01:00;33
12-03-2018 07:02:00;33
12-03-2018 11:45:09;33
