Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Occupancy
07-10-2018 11:23:48;0
07-10-2018 11:29:10;-1
07-10-2018 11:35:27;0
07-10-2018 11:57:58;-1
07-10-2018 12:03:01;0
07-10-2018 12:05:56;-1
07-10-2018 12:11:19;0
07-10-2018 12:19:55;-1
07-10-2018 12:55:05;0
07-10-2018 13:04:02;-1
07-10-2018 13:09:15;0
07-10-2018 13:35:33;-1
07-10-2018 14:10:52;0
07-10-2018 15:32:55;-1
07-10-2018 15:38:00;0
07-10-2018 15:40:31;-1
07-10-2018 15:47:42;0
07-10-2018 15:50:05;-1
07-10-2018 15:55:07;0
07-10-2018 15:59:30;-1
07-10-2018 16:04:39;0
07-10-2018 16:05:39;-1
07-10-2018 16:23:45;0
07-10-2018 16:25:42;-1
07-10-2018 17:03:13;0
07-10-2018 17:06:00;-1
07-10-2018 17:23:40;0
07-10-2018 17:31:35;-1
07-10-2018 17:37:52;0
07-10-2018 17:41:29;-1
07-10-2018 17:58:03;0
07-10-2018 18:16:45;-1
07-10-2018 18:35:36;0
07-10-2018 19:00:19;-1
07-10-2018 19:21:56;0
07-10-2018 21:15:36;-1
07-10-2018 21:21:15;0
07-10-2018 21:33:31;-1
07-10-2018 21:38:38;0
07-11-2018 06:57:01;-1
07-11-2018 07:02:06;0
07-11-2018 08:14:03;-1
07-11-2018 08:19:17;0
07-11-2018 08:29:47;-1
07-11-2018 08:35:05;0
07-11-2018 08:58:53;-1
07-11-2018 09:04:55;0
07-11-2018 09:21:13;-1
07-11-2018 09:26:54;0
07-11-2018 10:09:52;-1
07-11-2018 10:20:29;0
07-11-2018 10:20:46;-1
07-11-2018 10:26:14;0
07-11-2018 10:47:08;-1
07-11-2018 10:52:17;0
07-11-2018 11:07:30;-1
07-11-2018 11:12:41;0
07-11-2018 11:26:17;-1
07-11-2018 11:33:23;0
07-11-2018 11:53:22;-1
07-11-2018 11:59:37;0
07-11-2018 12:03:22;-1
07-11-2018 12:08:34;0
07-11-2018 12:27:18;-1
07-11-2018 12:41:58;0
07-11-2018 12:56:00;-1
07-11-2018 13:01:02;0
07-11-2018 13:14:54;-1
07-11-2018 13:23:57;0
07-11-2018 13:31:57;-1
07-11-2018 13:37:05;0
07-11-2018 14:24:50;-1
07-11-2018 14:34:35;0
07-11-2018 14:34:44;-1
07-11-2018 14:42:36;0
07-11-2018 15:32:06;-1
07-11-2018 15:37:51;0
07-11-2018 15:42:02;-1
07-11-2018 15:47:09;0
07-11-2018 16:39:51;-1
07-11-2018 16:46:35;0
07-11-2018 16:49:30;-1
07-11-2018 16:55:28;0
07-11-2018 17:10:02;-1
07-11-2018 17:16:27;0
07-11-2018 19:49:04;-1
07-11-2018 19:57:16;0
07-11-2018 21:26:13;-1
07-11-2018 21:31:16;0
07-12-2018 08:01:27;-1
07-12-2018 08:06:28;0
07-12-2018 09:07:27;-1
07-12-2018 09:12:33;0
07-12-2018 09:27:59;-1
07-12-2018 09:32:07;-1
07-12-2018 09:33:15;0
07-12-2018 13:29:52;-1
07-12-2018 13:35:11;0
07-12-2018 21:05:14;-1
07-12-2018 21:15:31;0
07-12-2018 21:45:17;-1
07-12-2018 21:52:22;0
07-13-2018 14:25:45;-1
07-13-2018 14:31:16;0
07-13-2018 14:54:12;-1
07-13-2018 14:59:40;0
07-15-2018 12:52:30;-1
07-15-2018 13:00:36;0
07-16-2018 08:10:26;-1
07-16-2018 08:15:53;0
07-16-2018 20:39:21;-1
07-16-2018 20:45:10;0
07-17-2018 14:13:50;-1
07-17-2018 14:19:53;0
07-17-2018 14:33:53;-1
07-17-2018 14:38:56;0
07-17-2018 14:40:08;-1
07-17-2018 14:45:28;0
07-17-2018 21:59:41;-1
07-17-2018 22:06:51;0
07-18-2018 00:10:18;-1
07-18-2018 00:15:22;0
07-18-2018 02:46:36;-1
07-18-2018 02:51:37;0
07-18-2018 11:37:17;-1
07-18-2018 11:42:59;0
07-18-2018 23:06:42;-1
07-18-2018 23:17:16;0
07-18-2018 23:29:43;-1
07-18-2018 23:36:27;0
07-18-2018 23:47:57;-1
07-18-2018 23:55:42;0
07-19-2018 10:10:44;-1
07-19-2018 10:15:50;0
07-19-2018 11:06:23;-1
07-19-2018 11:11:32;0
07-19-2018 11:19:37;-1
07-19-2018 11:27:17;0
07-19-2018 11:48:19;-1
07-19-2018 11:55:25;0
07-19-2018 15:18:51;-1
07-19-2018 15:27:31;0
07-19-2018 19:23:28;-1
07-19-2018 19:32:46;0
07-20-2018 18:17:27;-1
07-20-2018 18:22:41;0
07-20-2018 23:04:41;-1
07-20-2018 23:09:42;0
07-20-2018 23:25:06;-1
07-20-2018 23:30:08;0
07-22-2018 20:26:23;-1
07-22-2018 20:31:24;0
07-23-2018 04:43:29;-1
07-23-2018 04:48:30;0
07-23-2018 11:47:00;-1
07-23-2018 11:52:27;0
07-23-2018 22:48:50;-1
07-23-2018 22:55:27;0
07-23-2018 22:55:46;-1
07-23-2018 23:01:28;0
07-23-2018 23:07:05;-1
07-23-2018 23:16:59;0
07-24-2018 16:29:17;-1
07-24-2018 16:36:54;0
07-24-2018 16:38:30;-1
07-24-2018 16:43:52;0
07-25-2018 01:40:53;-1
07-25-2018 01:46:34;0
07-25-2018 07:30:40;-1
07-25-2018 07:35:59;0
07-25-2018 09:03:52;-1
07-25-2018 09:08:53;0
07-25-2018 10:10:53;-1
07-25-2018 10:18:19;0
07-25-2018 10:37:01;-1
07-25-2018 10:42:27;0
07-25-2018 11:13:35;-1
07-25-2018 11:40:42;0
07-25-2018 11:47:39;-1
07-25-2018 11:53:14;0
07-25-2018 12:22:58;-1
07-25-2018 12:35:19;0
07-25-2018 16:24:08;-1
07-25-2018 16:29:33;0
07-25-2018 20:12:10;-1
07-25-2018 20:19:26;0
07-25-2018 20:43:13;-1
07-25-2018 20:48:27;0
07-26-2018 09:12:50;-1
07-26-2018 09:18:38;0
07-26-2018 12:04:27;-1
07-26-2018 12:23:52;0
07-26-2018 16:06:59;-1
07-26-2018 16:12:17;0
07-27-2018 10:56:17;-1
07-27-2018 11:02:03;0
07-27-2018 12:41:24;-1
07-27-2018 12:49:47;0
07-27-2018 12:55:01;-1
07-27-2018 13:03:33;0
07-27-2018 13:04:19;-1
07-27-2018 13:09:56;0
07-27-2018 13:26:54;-1
07-27-2018 13:32:39;0
07-27-2018 13:33:16;-1
07-27-2018 13:39:39;0
07-27-2018 13:53:37;-1
07-27-2018 14:04:21;0
07-27-2018 20:49:07;-1
07-27-2018 20:55:06;0
07-28-2018 16:31:30;-1
07-28-2018 16:36:31;0
07-29-2018 13:09:55;-1
07-29-2018 13:14:56;0
07-29-2018 13:30:39;-1
07-29-2018 13:35:40;0
07-30-2018 09:15:58;-1
