Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Heat Valve Status
09-11-2018 10:44:02;79
09-11-2018 10:48:03;78
09-11-2018 10:54:03;77
09-11-2018 10:58:03;76
09-11-2018 11:04:03;75
09-11-2018 11:08:03;74
09-11-2018 11:14:02;73
09-11-2018 11:16:02;72
09-11-2018 11:22:03;70
09-11-2018 11:26:03;69
09-11-2018 11:28:03;68
09-11-2018 11:32:02;67
09-11-2018 11:36:03;66
09-11-2018 11:38:03;65
09-11-2018 11:42:03;64
09-11-2018 11:46:03;63
09-11-2018 11:48:02;62
09-11-2018 11:52:03;60
09-11-2018 11:56:02;59
09-11-2018 11:58:03;58
09-11-2018 12:00:03;57
09-11-2018 12:02:03;56
09-11-2018 12:04:03;55
09-11-2018 12:08:03;54
09-11-2018 12:10:03;53
09-11-2018 12:12:02;52
09-11-2018 12:14:02;51
09-11-2018 12:16:03;49
09-11-2018 12:18:02;48
09-11-2018 12:20:03;47
09-11-2018 12:22:03;46
09-11-2018 12:24:03;45
09-11-2018 12:26:03;44
09-11-2018 12:28:03;43
09-11-2018 12:30:03;42
09-11-2018 12:32:03;41
09-11-2018 12:34:02;40
09-11-2018 12:36:03;39
09-11-2018 12:38:03;38
09-11-2018 12:40:03;37
09-11-2018 12:42:03;36
09-11-2018 12:44:03;35
09-11-2018 12:46:03;34
09-11-2018 12:48:03;33
09-11-2018 12:50:03;31
09-11-2018 12:53:02;30
09-11-2018 12:55:02;28
09-11-2018 12:57:03;27
09-11-2018 12:59:03;26
09-11-2018 13:01:03;25
09-11-2018 13:03:03;24
09-11-2018 13:05:03;22
09-11-2018 13:07:02;21
09-11-2018 13:09:02;20
09-11-2018 13:11:03;19
09-11-2018 13:13:03;18
09-11-2018 13:15:03;16
09-11-2018 13:17:03;15
09-11-2018 13:18:25;14
09-11-2018 13:19:03;13
09-11-2018 13:20:02;12
09-11-2018 13:21:02;11
09-11-2018 13:22:25;12
09-11-2018 13:23:03;11
09-11-2018 13:25:03;10
09-11-2018 13:26:03;9
09-11-2018 13:26:24;8
09-11-2018 13:28:03;7
09-11-2018 13:29:03;6
09-11-2018 13:31:02;5
